CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Chain Name,Chain ID,Number of Facilities in Chain,Chain Average Overall 5-star Rating,Chain Average Health Inspection Rating,Chain Average Staffing Rating,Chain Average QM Rating,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2/3 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2/3 Number of Complaint Health Deficiencies,Rating Cycle 2/3 Health Deficiency Score,Rating Cycle 2/3 Number of Health Revisits,Rating Cycle 2/3 Health Revisit Score,Rating Cycle 2/3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date
35072,PHOENIX MOUNTAIN POST ACUTE,13232 NORTH TATUM BLVD,PHOENIX,AZ,85032,6029965200,60,Maricopa,For profit - Corporation,130,117.2,,Medicare and Medicaid,N,LOOKOUT MOUNTAIN HEALTHCARE LLC,1979-11-25,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,,N,Y,N,Resident,Yes,2,,1,,5,,5,,4,,2,,,,2.14375,0.89706,0.46692,1.36398,3.50773,3.41855,0.51394,0.04498,58.955,,50,,0,,1.34572,0.97412,2.24347,0.84569,0.66019,3.74935,3.31589,2.18865,0.91585,0.4767,3.58119,3.49015,2023-07-06,14,14,0,84,1,0,84,2022-05-12,4,3,1,36,1,0,36,72,0,1,0,1,8017.75,0,1,"13232 NORTH TATUM BLVD,PHOENIX,AZ,85032",33.6071,-111.98,,2025-09-01
35073,"HAVEN HEALTH GREEN VALLEY, LLC",150 NORTH LA CANADA DRIVE,GREEN VALLEY,AZ,85614,5206250178,90,Pima,For profit - Limited Liability company,111,95.3,,Medicare and Medicaid,N,HAVEN HEALTH GREEN VALLEY LLC,1981-01-01,HAVEN HEALTH,249,20,2.8,2.3,2.2,4.8,N,,Y,N,N,Resident,Yes,3,,2,,5,,5,,5,,3,,,,2.14716,0.86244,0.34189,1.20434,3.35149,2.89535,0.27494,0.06308,16.438,,14.286,,0,,1.36314,0.98672,2.2725,0.85663,0.66874,3.79787,3.3588,2.16412,0.86926,0.3446,3.37797,2.91823,2024-05-23,9,9,3,44,1,0,44,2023-01-13,16,15,1,84,1,0,84,54,4,2,,0,0,0,0,"150 NORTH LA CANADA DRIVE,GREEN VALLEY,AZ,85614",31.8727,-111,,2025-09-01
35074,FRIENDSHIP VILLAGE OF TEMPE,2525 EAST SOUTHERN AVENUE,TEMPE,AZ,85282,4808313184,60,Maricopa,Non profit - Corporation,128,64.6,,Medicare,N,TEMPE LIFE CARE VILLAGE INC,1980-11-12,,,,,,,,Y,,N,N,N,Both,Yes,2,,1,,5,,5,,5,,5,,,,2.69811,0.57323,2.07771,2.65094,5.34905,4.91317,1.90127,0.16838,34,,38.095,,0,,1.42692,1.03289,2.37883,0.89671,0.70003,3.97557,3.51596,2.59787,0.55193,2.00052,5.15032,4.73064,2025-01-17,18,9,9,88,1,0,88,2023-10-06,2,2,0,16,1,0,16,70,2,0,,0,0,0,0,"2525 EAST SOUTHERN AVENUE,TEMPE,AZ,85282",33.393,-111.88,,2025-09-01
35076,OSBORN HEALTH AND REHABILITATION,3333 NORTH CIVIC CENTER PLAZA,SCOTTSDALE,AZ,85251,4809941333,60,Maricopa,For profit - Corporation,130,106,,Medicare and Medicaid,N,"RENEWCARE OF SCOTTSDALE, INC.",1981-05-07,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,,N,N,N,Both,Yes,5,,4,,5,,5,,5,,3,,,,2.52305,1.02117,0.65211,1.67328,4.19633,3.6567,0.50118,0.10989,49.565,,42.857,,0,,1.4815,1.0724,2.46982,0.93101,0.7268,4.12763,3.65045,2.33982,0.94701,0.60475,3.89158,3.39114,2024-10-10,2,2,0,12,1,0,12,2023-09-29,10,3,7,48,1,0,48,21,2,5,,0,0,0,0,"3333 NORTH CIVIC CENTER PLAZA,SCOTTSDALE,AZ,85251",33.4861,-111.92,,2025-09-01
35083,HERITAGE COURT POST ACUTE OF SCOTTSDALE,3339 NORTH DRINKWATER BOULEVARD,SCOTTSDALE,AZ,85251,4809495400,60,Maricopa,For profit - Corporation,108,82.2,,Medicare and Medicaid,N,"ECHO CANYON HEALTHCARE, INC.",1983-02-01,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,,N,N,N,Resident,Yes,4,,3,,5,,5,,5,,2,,,,1.77393,1.17579,0.45466,1.63045,3.40438,2.99723,0.32106,0.1051,47.619,,55.556,,0,,1.31566,0.95236,2.19336,0.8268,0.64545,3.6656,3.24183,1.85246,1.22784,0.47479,3.55509,3.12991,2023-11-17,8,4,5,32,1,0,32,2022-09-22,8,5,3,40,1,0,40,34,5,7,,0,0,0,0,"3339 NORTH DRINKWATER BOULEVARD,SCOTTSDALE,AZ,85251",33.4868,-111.92,,2025-09-01
35084,PLAZA HEALTHCARE,1475 NORTH GRANITE REEF ROAD,SCOTTSDALE,AZ,85257,4809901904,60,Maricopa,For profit - Partnership,179,133.4,,Medicare and Medicaid,N,"PLAZA HC HOLDING COMPANY, LLC",1983-01-18,,,,,,,,N,,N,Y,N,Resident,Yes,4,,4,,4,,5,,3,,4,,,,3.02866,1.47188,1.85357,3.32545,6.35412,5.42934,1.16371,0.03978,38.725,,38.889,,0,,2.50958,1.81659,4.18374,1.57709,1.23116,6.99199,6.18366,1.65809,0.8058,1.01477,3.47866,2.97238,2023-08-10,2,0,2,8,0,0,8,2022-06-16,5,5,0,24,1,0,24,12,1,0,,0,0,0,0,"1475 NORTH GRANITE REEF ROAD,SCOTTSDALE,AZ,85257",33.4642,-111.9,,2025-09-01
35085,HAVEN OF SAGUARO VALLEY,6651 EAST CARONDELET DRIVE,TUCSON,AZ,85710,5207318500,90,Pima,For profit - Corporation,112,96.4,,Medicare and Medicaid,N,HAVEN OF SAGUARO VALLEY LLC,1983-02-24,HAVEN HEALTH,249,20,2.8,2.3,2.2,4.8,N,,Y,Y,N,Resident,Yes,2,,2,,5,,5,,5,,1,,,,1.37759,1.08659,0.24033,1.32692,2.70451,2.35057,0.16531,0.03505,39.706,,75,,1,,1.41866,1.02691,2.36506,0.89152,0.69597,3.95255,3.4956,1.33413,1.05231,0.23275,2.6192,2.27642,2023-04-13,6,5,3,28,1,0,28,2022-03-25,13,9,4,88,1,0,88,43,0,6,,0,0,0,0,"6651 EAST CARONDELET DRIVE,TUCSON,AZ,85710",32.2256,-110.85,,2025-09-01
35086,"HAVEN OF SIERRA VISTA, LLC",660 SOUTH CORONADO DRIVE,SIERRA VISTA,AZ,85635,5204594900,10,Cochise,For profit - Limited Liability company,100,95.1,,Medicare and Medicaid,N,HAVEN OF SIERRA VISTA LLC,1983-06-22,HAVEN HEALTH,249,20,2.8,2.3,2.2,4.8,N,,N,N,N,Resident,Yes,3,,2,,5,,5,,5,,2,,,,1.76635,0.96363,0.61761,1.58124,3.34758,2.90411,0.32036,0.05403,40.845,,50,,0,,1.4807,1.07182,2.46849,0.93051,0.72641,4.12541,3.64848,1.63895,0.89413,0.57307,3.10615,2.69466,2023-12-08,10,10,2,48,1,0,48,2022-09-08,4,4,0,16,1,0,16,40,0,1,,0,0,0,0,"660 SOUTH CORONADO DRIVE,SIERRA VISTA,AZ,85635",31.5477,-110.28,,2025-09-01
35087,NORTH MOUNTAIN MEDICAL AND REHABILITATION CENTER,9155 NORTH THIRD STREET,PHOENIX,AZ,85020,6029441666,60,Maricopa,For profit - Corporation,155,154,,Medicare and Medicaid,N,RADIANT HILLS HEALTH ASSOCIATES LLC,1983-11-02,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,,N,N,N,Resident,Yes,5,,5,,5,,5,,5,,2,,,,3.25648,1.91353,1.1528,3.06633,6.32282,5.58672,0.84667,0.13006,40.693,,44.681,,0,,2.8511,2.0638,4.7531,1.79171,1.39871,7.94351,7.02518,1.56926,0.9221,0.55552,3.04688,2.69216,2023-09-01,1,0,1,4,0,0,4,2022-07-14,3,1,2,16,1,0,16,7,1,2,,0,0,0,0,"9155 NORTH THIRD STREET,PHOENIX,AZ,85020",33.5694,-112.07,,2025-09-01
35088,CAMELBACK POST ACUTE CARE AND REHABILITATION,4635 NORTH 14TH STREET,PHOENIX,AZ,85014,6022649039,60,Maricopa,For profit - Corporation,107,75,,Medicare and Medicaid,N,HIGHLAND HEALTHCARE LLC,1984-01-06,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,,N,N,N,Resident,Yes,3,,2,,5,,5,,4,,3,,,,1.73412,0.98898,0.75696,1.74594,3.48006,2.83029,0.43137,0.11745,39.437,,36.364,,0,,1.3612,0.98532,2.26927,0.85541,0.66778,3.79246,3.35402,1.75031,0.99821,0.76402,3.51255,2.85672,2024-04-24,8,8,1,40,1,0,40,2022-12-01,4,0,4,40,0,0,40,40,0,4,,0,0,0,0,"4635 NORTH 14TH STREET,PHOENIX,AZ,85014",33.5047,-112.05,,2025-09-01
35091,HAVEN OF FLAGSTAFF,800 WEST UNIVERSITY AVENUE,FLAGSTAFF,AZ,86001,9287796931,20,Coconino,For profit - Corporation,83,79.5,,Medicare and Medicaid,N,HAVEN OF FLAGSTAFF LLC,1984-02-08,HAVEN HEALTH,249,20,2.8,2.3,2.2,4.8,N,,Y,N,N,Resident,Yes,3,,2,,5,,5,,5,,3,,,,1.99857,0.81963,0.69591,1.51554,3.5141,3.2117,0.69059,0.07565,50.588,,42.857,,0,,1.44086,1.04298,2.40207,0.90547,0.70686,4.01441,3.55031,1.9057,0.78154,0.66358,3.35082,3.06247,2025-03-14,9,6,7,36,1,0,36,2023-10-05,9,6,5,40,1,0,40,37,4,3,,0,0,0,0,"800 WEST UNIVERSITY AVENUE,FLAGSTAFF,AZ,86001",35.1842,-111.66,,2025-09-01
35092,BELLA VITA HEALTH AND REHABILITATION CENTER,5125 NORTH 58TH AVENUE,GLENDALE,AZ,85301,6239315800,60,Maricopa,For profit - Corporation,176,156.1,,Medicare and Medicaid,N,GLENDALE HEALTHCARE ASSOCIATES LLC,1984-03-27,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,,N,N,N,Resident,Yes,4,,3,,5,,5,,5,,2,,,,1.97589,1.45038,0.25566,1.70603,3.68192,3.2047,0.18363,0.09089,51.163,,64.286,,0,,1.30311,0.94327,2.17242,0.81891,0.63929,3.63062,3.21089,2.08324,1.52918,0.26955,3.88197,3.37882,2024-10-31,7,3,4,28,1,0,28,2023-03-10,1,0,1,8,0,0,8,23,3,5,,0,0,0,0,"5125 NORTH 58TH AVENUE,GLENDALE,AZ,85301",33.5118,-112.18,,2025-09-01
35093,HAVEN OF COTTONWOOD,197 SOUTH WILLARD STREET,COTTONWOOD,AZ,86326,9286345548,120,Yavapai,For profit - Corporation,80,69.5,,Medicare and Medicaid,N,HAVEN OF COTTONWOOD LLC,1984-06-22,HAVEN HEALTH,249,20,2.8,2.3,2.2,4.8,N,,N,N,N,None,Yes,2,,2,,5,,5,,4,,1,,,,1.57604,0.63122,0.39275,1.02397,2.60001,2.26079,0.24773,0.05853,50,,72.727,,,26,1.37038,0.99197,2.28457,0.86118,0.67229,3.81804,3.37664,1.5801,0.63285,0.39376,2.60671,2.26662,2024-04-11,7,3,4,36,1,0,36,2022-11-17,18,15,3,88,1,0,88,49,0,3,,0,0,0,0,"197 SOUTH WILLARD STREET,COTTONWOOD,AZ,86326",34.7371,-112.03,,2025-09-01
35094,HAVEN OF SEDONA,505 JACKS CANYON ROAD,SEDONA,AZ,86351,4809354300,20,Coconino,For profit - Corporation,112,78,,Medicare and Medicaid,N,HAVEN OF SEDONA LLC,1984-05-30,HAVEN HEALTH,249,20,2.8,2.3,2.2,4.8,N,,Y,N,N,Resident,Yes,2,,1,,5,,5,,5,,1,,,,1.67995,0.89472,0.40737,1.30209,2.98204,2.62779,0.38284,0.06183,51.613,,57.143,,0,,1.29131,0.93473,2.15275,0.81149,0.6335,3.59774,3.18181,1.78741,0.95195,0.43343,3.17279,2.79588,2025-04-09,16,15,1,100,1,0,100,2023-03-23,8,3,5,40,1,0,40,85,1,5,,0,0,0,0,"505 JACKS CANYON ROAD,SEDONA,AZ,86351",34.7793,-111.75,,2025-09-01
35095,DESERT COVE NURSING CENTER,1750 WEST FRYE ROAD,CHANDLER,AZ,85224,4808990641,60,Maricopa,For profit - Corporation,120,68.9,,Medicare and Medicaid,N,CHANDLER UNITED MEDICAL INVESTORS LIMITED PARTNERSHIP,1984-12-03,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,,N,N,N,Resident,Yes,2,,1,,5,,5,,5,,2,,,,2.00429,0.89997,0.47029,1.37025,3.37454,3.04689,0.4818,0.06358,50.794,,61.538,,1,,1.37169,0.99292,2.28676,0.86201,0.67293,3.8217,3.37988,2.00752,0.90142,0.47105,3.37999,3.0518,2024-02-09,11,9,2,68,1,0,68,2022-11-03,10,6,4,56,1,0,56,65,4,7,,0,0,0,0,"1750 WEST FRYE ROAD,CHANDLER,AZ,85224",33.2987,-111.87,,2025-09-01
35096,"HAVEN OF SANDPOINTE, LLC",2222 SOUTH AVENUE A,YUMA,AZ,85364,9287838831,130,Yuma,For profit - Limited Liability company,143,92.4,,Medicare and Medicaid,N,HAVEN OF SANDPOINTE LLC,1985-02-19,HAVEN HEALTH,249,20,2.8,2.3,2.2,4.8,N,,N,N,N,None,Yes,5,,4,,5,,5,,4,,3,,,,2.22548,0.86124,0.56986,1.43109,3.65657,3.14572,0.40357,0.05618,34.314,,23.077,,1,,1.37231,0.99336,2.28779,0.86239,0.67323,3.82341,3.3814,2.22807,0.86224,0.57052,3.66084,3.14939,2023-09-22,4,2,2,16,1,0,16,2022-08-04,8,7,2,40,1,0,40,22,2,5,,0,0,0,0,"2222 SOUTH AVENUE A,YUMA,AZ,85364",32.6873,-114.63,,2025-09-01
